id,title,label
2195509,Konkordato mühlet kararının ilanen tebliği,diger
2195586,Konkordato Mühlet Kararı tebliği,alacak_bildirimi
2195160,Konkordato Komiserliği'nden alacaklılara çağrı,alacak_bildirimi
2195157,Konkordato Komiserliği'nden alacaklılara çağrı,alacak_bildirimi
2194447,Konkordato Komiserliğinden Alacaklılar Toplantısına Davet,toplanti_davet
2194426,Konkordato geçici mühlet kararına ilişkin mahkeme kararı tebliği,gecici_muhlet
2194413,Konkordato geçici mühlet kararı ve duruşma gününün ilanen tebliği,gecici_muhlet
2194412,Konkordato mühletinin uzatılmasına ilişkin mahkeme kararı,muhlet_uzatma
2194409,Konkordato Duruşma Kararının İlanen Tebliği,diger
2194273,Alacaklıların alacaklarını bildirmeye davet ilanı,alacak_bildirimi
2193741,Konkordato kesin mühlet kararının tebliği,kesin_muhlet
2193733,Mahkeme kararının ilanen tebliği,kesin_muhlet
2193653,Konkordato mühletinin uzatılmasına ilişkin mahkeme kararı,muhlet_uzatma
2194121,Konkordato komiserliğinden alacaklılar toplantısı daveti,toplanti_davet
2193821,Konkordato komiserliğinden alacaklıları alacaklarını bildirmeye davet,alacak_bildirimi
2193472,Konkordato geçici mühlet kararının ilanen tebliği,gecici_muhlet
2193227,Konkordato mühletinin uzatılmasına ilişkin mahkeme kararı,muhlet_uzatma
2193062,Konkordato davasının reddine ilişkin mahkeme kararı,diger
2193061,Konkordato kesin mühlet kararının bildirimi ve duruşma gününün ilanen tebliği,kesin_muhlet
2192950,Konkordato geçici mühlet kararının ilanen tebliği,gecici_muhlet
synthetic_1,Konkordato geçici mühlet kararının duyurulması,gecici_muhlet
synthetic_2,Konkordato geçici süre kararına ilişkin ilan,gecici_muhlet
synthetic_3,Konkordato nihai mühlet kararının bildirimi,kesin_muhlet
synthetic_4,Konkordato kesin süre kararı hakkında duyuru,kesin_muhlet
synthetic_5,Konkordato mühletinin temdidi hakkında mahkeme kararı,muhlet_uzatma
synthetic_6,Konkordato süresinin arttırılmasına ilişkin mahkeme kararının ilanen tebliği,muhlet_uzatma
synthetic_7,Konkordato mühlet müddetinin genişletilmesine dair karar,muhlet_uzatma
synthetic_8,Konkordato komiserliğinden alacaklılar toplantısına çağrı ilanı,toplanti_davet
synthetic_9,Alacaklılar toplantısının yapılmasına dair duyuru,toplanti_davet
synthetic_10,Alacaklıların alacaklarını beyan etmeye davet ilanı,alacak_bildirimi
synthetic_11,Konkordato komiserliğinden alacak kaydettirmeye çağrı,alacak_bildirimi
synthetic_12,Konkordato komiserinin değiştirilmesine ilişkin mahkeme kararı,diger
synthetic_13,Konkordato talebinin reddi kararının ilanen tebliği,diger
